,index,StudioProjectName,StudioTestName,ParticipantName,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),RecordingTimestamp,StudioEventData,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),Unnamed: 14,participant_identifier
52,309,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5137,,,,480.0,389.0,224.59,215.35,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
53,310,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5153,,,,634.0,430.0,225.18,215.29,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
54,311,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5170,,,,705.0,525.0,225.73,215.0,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
55,312,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5187,,,,719.0,550.0,225.78,214.84,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
56,313,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5203,,561.0,557.0,731.0,550.0,225.7,214.8,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
57,314,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5220,,561.0,557.0,730.0,558.0,225.67,214.77,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
58,315,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5237,,561.0,557.0,727.0,555.0,225.65,214.87,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
59,316,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5253,,561.0,557.0,729.0,558.0,225.64,214.86,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
60,317,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5270,,561.0,557.0,730.0,558.0,225.63,214.88,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
61,318,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5287,,561.0,557.0,736.0,562.0,225.63,214.87,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
62,319,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5303,,561.0,557.0,734.0,563.0,225.63,214.89,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
63,320,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5320,,561.0,557.0,737.0,551.0,225.67,214.77,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
64,321,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5337,,561.0,557.0,730.0,551.0,225.66,214.76,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
65,322,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5353,,,,669.0,528.0,225.41,214.95,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
66,323,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5370,,500.0,527.0,672.0,528.0,225.33,215.02,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
67,324,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5387,,500.0,527.0,676.0,531.0,225.3,214.97,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
68,325,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5403,,500.0,527.0,671.0,529.0,225.28,214.85,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
69,326,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5420,,500.0,527.0,671.0,531.0,225.25,214.91,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
70,327,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5437,,500.0,527.0,676.0,520.0,225.23,214.83,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
71,328,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5453,,500.0,527.0,667.0,527.0,225.21,214.81,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
72,329,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5470,,500.0,527.0,665.0,526.0,225.19,214.8,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
