         1423357 function calls (1413174 primitive calls) in 5.420 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1898    0.001    0.000    0.001    0.000 managers.py:210(ndim)
      144    0.001    0.000    0.004    0.000 parse.py:364(urlparse)
     1310    0.001    0.000    0.001    0.000 managers.py:320(<genexpr>)
      579    0.001    0.000    0.003    0.000 construction.py:612(is_empty_data)
      144    0.001    0.000    0.028    0.000 managers.py:796(copy)
      144    0.001    0.000    0.001    0.000 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
      144    0.001    0.000    0.349    0.002 construction.py:62(arrays_to_mgr)
      144    0.001    0.000    0.068    0.000 construction.py:632(create_series_with_explicit_dtype)
      732    0.001    0.000    0.001    0.000 blocks.py:2524(_maybe_coerce_values)
        7    0.001    0.000    0.001    0.000 concat.py:536(_combine_concat_plans)
        5    0.001    0.000    0.078    0.016 concat.py:314(<listcomp>)
        3    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      443    0.001    0.000    0.029    0.000 missing.py:133(_isna)
      144    0.001    0.000    0.006    0.000 cast.py:1572(construct_1d_arraylike_from_scalar)
      149    0.001    0.000    0.005    0.000 base.py:3037(get_loc)
      729    0.001    0.000    0.003    0.000 cast.py:698(_ensure_dtype_type)
        1    0.001    0.001    2.111    2.111 concat.py:306(__init__)
      437    0.001    0.000    0.001    0.000 managers.py:132(<listcomp>)
      592    0.001    0.000    0.002    0.000 common.py:1743(validate_all_hashable)
      432    0.001    0.000    0.001    0.000 {built-in method pandas._libs.lib.is_bool_array}
      144    0.001    0.000    0.026    0.000 base.py:4176(_coerce_scalar_to_index)
        5    0.001    0.000    0.013    0.003 concat.py:425(_get_upcast_classes)
     1296    0.001    0.000    0.001    0.000 inference.py:289(<genexpr>)
      720    0.001    0.000    0.004    0.000 concat.py:199(dtype)
      432    0.001    0.000    0.002    0.000 common.py:126(_expand_user)
      145    0.001    0.000    0.001    0.000 base.py:574(_engine)
        5    0.001    0.000    0.074    0.015 algorithms.py:319(unique)
      296    0.001    0.000    0.001    0.000 managers.py:1545(__init__)
     3043    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_float}
      432    0.001    0.000    0.001    0.000 posixpath.py:232(expanduser)
      144    0.001    0.000    0.015    0.000 series.py:4337(reindex)
      295    0.001    0.000    0.169    0.001 managers.py:991(_consolidate_inplace)
      870    0.001    0.000    0.001    0.000 concat.py:487(<genexpr>)
      864    0.001    0.000    0.001    0.000 parsers.py:1121(<genexpr>)
     3035    0.001    0.000    0.001    0.000 multiarray.py:143(concatenate)
     1169    0.001    0.000    0.005    0.000 _methods.py:53(_any)
     2027    0.001    0.000    0.002    0.000 base.py:4071(_values)
       28    0.001    0.000    0.068    0.002 properties.py:394(setProperties)
      144    0.001    0.000    0.002    0.000 managers.py:1699(<listcomp>)
      725    0.001    0.000    0.002    0.000 series.py:585(_values)
     1164    0.001    0.000    0.009    0.000 managers.py:1911(<lambda>)
      144    0.001    0.000    0.005    0.000 parsers.py:1962(close)
      144    0.001    0.000    0.004    0.000 common.py:81(close)
      291    0.001    0.000    0.173    0.001 managers.py:975(consolidate)
      864    0.000    0.000    0.001    0.000 cast.py:1642(construct_1d_ndarray_preserving_na)
      147    0.000    0.000    0.004    0.000 indexing.py:2204(convert_to_index_sliceable)
       74    0.000    0.000    0.000    0.000 {built-in method hide}
     1184    0.000    0.000    0.001    0.000 common.py:1762(<genexpr>)
      144    0.000    0.000    0.030    0.000 parsers.py:1358(_open_handles)
        1    0.000    0.000    0.000    0.000 {connectSlotsByName}
       58    0.000    0.000    0.000    0.000 {built-in method metaObject}
      291    0.000    0.000    0.191    0.001 generic.py:5538(f)
        5    0.000    0.000    0.018    0.004 concat.py:348(_get_empty_dtype_and_na)
      288    0.000    0.000    0.003    0.000 base.py:653(view)
      605    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1040    0.000    0.000    0.001    0.000 _asarray.py:110(asanyarray)
      288    0.000    0.000    0.001    0.000 fromnumeric.py:1716(ravel)
      432    0.000    0.000    0.001    0.000 blocks.py:2529(is_bool)
      288    0.000    0.000    0.002    0.000 common.py:154(stringify_path)
      288    0.000    0.000    0.001    0.000 base.py:1239(name)
      336    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
      720    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
      144    0.000    0.000    0.010    0.000 base.py:4473(identical)
      144    0.000    0.000    0.001    0.000 parsers.py:1971(_set_noconvert_columns)
      144    0.000    0.000    0.004    0.000 common.py:108(is_url)
      300    0.000    0.000    0.000    0.000 flags.py:83(allows_duplicate_labels)
     10/9    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
      146    0.000    0.000    0.003    0.000 numerictypes.py:599(find_common_type)
        6    0.000    0.000    0.000    0.000 {built-in method findText}
      584    0.000    0.000    0.001    0.000 base.py:532(is_)
     1152    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      288    0.000    0.000    0.000    0.000 parse.py:112(_coerce_args)
      144    0.000    0.000    0.001    0.000 parsers.py:1835(_do_date_conversions)
        3    0.000    0.000    0.000    0.000 {built-in method setFont}
      146    0.000    0.000    0.000    0.000 managers.py:1938(<listcomp>)
        1    0.000    0.000    0.000    0.000 view_plot.py:91(browser_refresh)
        1    0.000    0.000    0.000    0.000 {built-in method setStrikeOut}
      859    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      288    0.000    0.000    0.011    0.000 generic.py:4798(<genexpr>)
      144    0.000    0.000    0.001    0.000 generic.py:424(_construct_axes_from_arguments)
        1    0.000    0.000    0.000    0.000 {built-in method setTabShape}
      149    0.000    0.000    0.001    0.000 base.py:510(_shallow_copy)
      144    0.000    0.000    0.027    0.000 managers.py:1829(_simple_blockify)
      581    0.000    0.000    0.001    0.000 common.py:1276(is_string_like_dtype)
        2    0.000    0.000    0.000    0.000 {built-in method setWidgetResizable}
      294    0.000    0.000    0.001    0.000 generic.py:470(_get_axis)
       58    0.000    0.000    0.000    0.000 {built-in method className}
     1152    0.000    0.000    0.000    0.000 numerictypes.py:584(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method setFrameShape}
      290    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(atleast_2d)
      288    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
      720    0.000    0.000    0.003    0.000 {method 'all' of 'numpy.ndarray' objects}
     1027    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      144    0.000    0.000    0.000    0.000 cast.py:743(infer_dtype_from_scalar)
      144    0.000    0.000    0.000    0.000 parsers.py:2111(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method setContentsMargins}
     1440    0.000    0.000    0.000    0.000 managers.py:1847(<lambda>)
      291    0.000    0.000    0.198    0.001 generic.py:5534(_consolidate_inplace)
      144    0.000    0.000    0.013    0.000 generic.py:10593(any)
      144    0.000    0.000    0.031    0.000 generic.py:7416(isna)
      434    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
     1729    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      442    0.000    0.000    0.003    0.000 managers.py:681(is_consolidated)
     1160    0.000    0.000    0.000    0.000 base.py:1232(name)
      146    0.000    0.000    0.043    0.000 shape_base.py:223(vstack)
      144    0.000    0.000    0.000    0.000 parsers.py:3319(_process_date_conversion)
      144    0.000    0.000    0.004    0.000 parsers.py:1419(close)
     1020    0.000    0.000    0.000    0.000 blocks.py:343(shape)
      288    0.000    0.000    0.001    0.000 parse.py:415(_remove_unsafe_bytes_from_url)
      288    0.000    0.000    0.001    0.000 generic.py:340(_validate_dtype)
     1185    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      288    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(append)
      144    0.000    0.000    0.001    0.000 common.py:254(maybe_iterable_to_list)
      144    0.000    0.000    0.007    0.000 nanops.py:442(nanany)
      288    0.000    0.000    0.004    0.000 managers.py:814(copy_func)
      720    0.000    0.000    0.002    0.000 _methods.py:59(_all)
     19/1    0.000    0.000    0.076    0.076 uiparser.py:245(createWidget)
     1008    0.000    0.000    0.000    0.000 multiarray.py:1089(putmask)
      726    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.080    0.080 uiparser.py:808(createUserInterface)
      912    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      288    0.000    0.000    0.000    0.000 common.py:1187(needs_i8_conversion)
      288    0.000    0.000    0.000    0.000 common.py:157(ensure_python_int)
      144    0.000    0.000    0.005    0.000 parsers.py:821(close)
      312    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      288    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(ravel)
      144    0.000    0.000    0.002    0.000 range.py:395(_shallow_copy)
       37    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      144    0.000    0.000    0.001    0.000 parsers.py:1545(_make_index)
      149    0.000    0.000    0.003    0.000 base.py:5288(_maybe_cast_indexer)
      432    0.000    0.000    0.001    0.000 managers.py:1869(_shape_compat)
      144    0.000    0.000    0.002    0.000 base.py:2134(_is_all_dates)
      581    0.000    0.000    0.000    0.000 common.py:1304(<lambda>)
      291    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(min_scalar_type)
     1008    0.000    0.000    0.001    0.000 concat.py:561(_next_or_none)
      289    0.000    0.000    0.006    0.000 generic.py:3485(_clear_item_cache)
      576    0.000    0.000    0.000    0.000 base.py:381(<genexpr>)
      576    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
      907    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      149    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
